nom_ville,site_associations_ville,code_postal
 Abbécourt,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-abbecourt-02001.html,01
 Ambérieu-en-Bugey,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-amberieu-en-bugey-01004.html,01
 Ambérieux-en-Dombes,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-amberieux-en-dombes-01005.html,01
 Ambléon,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-ambleon-01006.html,01
 Ambronay,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-ambronay-01007.html,01
 Ambutrix,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-ambutrix-01008.html,01
 Andert-et-Condon,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-andert-et-condon-01009.html,01
 Anglefort,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-anglefort-01010.html,01
 Apremont,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-apremont-01-01011.html,01
 Aranc,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-aranc-01012.html,01
 Arandas,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-arandas-01013.html,01
 Arbent,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-arbent-01014.html,01
 Arbignieu,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-arbignieu-01015.html,01
 Arbigny,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-arbigny-01016.html,01
 Argis,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-argis-01017.html,01
 Armix,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-armix-01019.html,01
 Ars-sur-Formans,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-ars-sur-formans-01021.html,01
 Artemare,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-artemare-01022.html,01
 Asnières-sur-Saône,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-asnieres-sur-saone-01023.html,01
 Attignat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-attignat-01024.html,01
 Bâgé-la-Ville,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bage-la-ville-01025.html,01
 Bâgé-le-Châtel,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bage-le-chatel-01026.html,01
 Balan,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-balan-01-01027.html,01
 Baneins,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-baneins-01028.html,01
 Béard-Géovreissiat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-beard-geovreissiat-01170.html,01
 Beaupont,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-beaupont-01029.html,01
 Beauregard,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-beauregard-01-01030.html,01
 Béligneux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-beligneux-01032.html,01
 Bellegarde-sur-Valserine,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bellegarde-sur-valserine-01033.html,01
 Belley,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-belley-01034.html,01
 Belleydoux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-belleydoux-01035.html,01
 Bellignat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bellignat-01031.html,01
 Belmont-Luthézieu,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-belmont-luthezieu-01036.html,01
 Bénonces,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-benonces-01037.html,01
 Bény,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-beny-01038.html,01
 Béon,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-beon-01-01039.html,01
 Béréziat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bereziat-01040.html,01
 Bettant,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bettant-01041.html,01
 Bey,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bey-01-01042.html,01
 Beynost,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-beynost-01043.html,01
 Billiat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-billiat-01044.html,01
 Birieux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-birieux-01045.html,01
 Biziat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-biziat-01046.html,01
 Blyes,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-blyes-01047.html,01
 Bohas-Meyriat-Rignat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bohas-meyriat-rignat-01245.html,01
 Boissey,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-boissey-01-01050.html,01
 Bolozon,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bolozon-01051.html,01
 Bouligneux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bouligneux-01052.html,01
 Bourg-en-Bresse,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bourg-en-bresse-01053.html,01
 Bourg-Saint-Christophe,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bourg-saint-christophe-01054.html,01
 Boyeux-Saint-Jérôme,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-boyeux-saint-jerome-01056.html,01
 Boz,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-boz-01057.html,01
 Brégnier-Cordon,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bregnier-cordon-01058.html,01
 Brénaz,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-brenaz-01059.html,01
 Brénod,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-brenod-01060.html,01
 Brens,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-brens-01-01061.html,01
 Bressolles,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-bressolles-01-01062.html,01
 Brion,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-brion-01-01063.html,01
 Briord,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-briord-01064.html,01
 Buellas,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-buellas-01065.html,01
 Ceignes,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-ceignes-01067.html,01
 Cerdon,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cerdon-01-01068.html,01
 Certines,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-certines-01069.html,01
 Cessy,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cessy-01071.html,01
 Ceyzériat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-ceyzeriat-01072.html,01
 Ceyzérieu,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-ceyzerieu-01073.html,01
 Chalamont,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chalamont-01074.html,01
 Chaleins,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chaleins-01075.html,01
 Chaley,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chaley-01076.html,01
 Challes-la-Montagne,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-challes-la-montagne-01077.html,01
 Challex,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-challex-01078.html,01
 Champagne-en-Valromey,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-champagne-en-valromey-01079.html,01
 Champdor,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-champdor-01080.html,01
 Champfromier,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-champfromier-01081.html,01
 Chanay,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chanay-01082.html,01
 Chaneins,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chaneins-01083.html,01
 Chanoz-Châtenay,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chanoz-chatenay-01084.html,01
 Charix,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-charix-01087.html,01
 Charnoz-sur-Ain,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-charnoz-sur-ain-01088.html,01
 Château-Gaillard,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chateau-gaillard-01089.html,01
 Châtenay,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatenay-01-01090.html,01
 Châtillon-en-Michaille,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatillon-en-michaille-01091.html,01
 Châtillon-la-Palud,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatillon-la-palud-01092.html,01
 Châtillon-sur-Chalaronne,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatillon-sur-chalaronne-01093.html,01
 Chavannes-sur-Reyssouze,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chavannes-sur-reyssouze-01094.html,01
 Chavannes-sur-Suran,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chavannes-sur-suran-01095.html,01
 Chaveyriat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chaveyriat-01096.html,01
 Chavornay,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chavornay-01097.html,01
 Chazey-Bons,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chazey-bons-01098.html,01
 Chazey-sur-Ain,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chazey-sur-ain-01099.html,01
 Cheignieu-la-Balme,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cheignieu-la-balme-01100.html,01
 Chevillard,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chevillard-01101.html,01
 Chevroux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chevroux-01102.html,01
 Chevry,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chevry-01-01103.html,01
 Chézery-Forens,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chezery-forens-01104.html,01
 Civrieux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-civrieux-01105.html,01
 Cize,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cize-01-01106.html,01
 Cleyzieu,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cleyzieu-01107.html,01
 Coligny,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-coligny-01108.html,01
 Collonges,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-collonges-01109.html,01
 Colomieu,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-colomieu-01110.html,01
 Conand,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-conand-01111.html,01
 Condamine,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-condamine-01-01112.html,01
 Condeissiat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-condeissiat-01113.html,01
 Confort,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-confort-01114.html,01
 Confrançon,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-confrancon-01115.html,01
